name,kind,region,category,mappedUrl
Abu Dhabi Global Market,additional,ME/AF,All,
Abu Dhabi Office of Data Protection,additional,ME/AF,All,
Access to Cash Review,additional,UK/EU,All,
ACPR,source,UK/EU,Insurance,https://acpr.banque-france.fr/en/publications-and-statistics
ADGM FSRA,source,ME/AF,Securities,https://www.adgm.com/fsra/regulations/rulebooks
Administrative Council for Economic Defense - Brazil,additional,AMER,All,
Advertising Regulatory Board,additional,ME/AF,All,
Advertising Standards Authority,additional,UK/EU,All,
Advertising Standards Authority for Ireland,additional,UK/EU,All,
Advertising Standards Authority of Singapore,additional,APAC,All,
Advertising Standards Council of India,additional,APAC,All,
AFM,source,UK/EU,Securities,https://www.afm.nl/en/professionals/onderwerpen
Agence Française Anticorruption,additional,UK/EU,All,
Agencia Espanola Proteccion Datos,additional,UK/EU,All,
Agency Against Corruption,additional,Global,All,
Agency for Digital Italy,additional,UK/EU,All,
Agency for Personal Data Protection,additional,UK/EU,All,
Agency for Protection of Competition,additional,UK/EU,All,
Alabama,jurisdiction,Alabama,All,
Alaska,jurisdiction,Alaska,All,
Albania,jurisdiction,Albania,All,
Alberta,jurisdiction,Alberta,All,
American Bankers Association,additional,AMER,All,
AMF,source,UK/EU,Securities,https://www.amf-france.org/en/regulation/general-regulation-and-instructions
Angola Data Protection Agency,additional,ME/AF,All,
Angola Financial Intelligence Unit,additional,ME/AF,All,
Anti-Money Laundering and Counter-Terrorism Financing Office,additional,APAC,All,
Anti-Money Laundering Authority (AMLA) - EU,additional,UK/EU,All,
Anti-Money Laundering Division (Executive Yuan),additional,APAC,All,
Antimonopoly Office of the Slovak Republic,additional,UK/EU,All,
APRA,source,APAC,Prudential,https://www.apra.gov.au/industries
Argentina,jurisdiction,Argentina,All,
Argentina Ministry of Economy,additional,AMER,All,
Argentine Bankers Association,additional,AMER,All,
Arizona,jurisdiction,Arizona,All,
Arkansas,jurisdiction,Arkansas,All,
Armenia,jurisdiction,Armenia,All,
Armenia Personal Data Protection Agency,additional,UK/EU,All,
